"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1617.85825027834/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0xf8faa12d6ff42f528e32e133806aefdcbc0744a3bc3eac3d9627e2e7b19b6eea","28343046","1743475439","2025-04-01 02:43:59","0xf42a0e64b01e400a61ec16a382b88aad274afe32","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0.00001","0","0.0161785825027834","0.000000719250925904","0.00116364604449412","1905.23","","","Buy"
"0xbe03b8f7843f2c5b72b47255b21214dbe6d3e2623de75eb5ebb98971beaebd71","28826141","1744441629","2025-04-12 07:07:09","0x81b8ad04f9ea476b8a0d239d0febe82906ea7a31","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0.00011256","0","0.18210612465133","0.000000750739142875","0.00121458951610721","1643.84","","","Buy"
"0x2d66549ca7741a6acec130bf71450fa3a497914e8188f4669de8e3f4f064ede0","28834998","1744459343","2025-04-12 12:02:23","0x8135b6a51b6168c0a2312914c20e0fb0d8e7bb6e","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0.000111","0","0.179582265780896","0.000000855481563667","0.00138404790573967","1643.84","","","Buy"
"0xe6236d61ca632e7ebc22bc28aa37c01ea1376f3cbe1230332cc75b0f81d11e2c","28835039","1744459425","2025-04-12 12:03:45","0x8135b6a51b6168c0a2312914c20e0fb0d8e7bb6e","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0","0","0","0.000000939015375925","0.00151919377307848","1643.84","","","Sell"
"0x9c6b05de8931d6fb721c3a4ef19c09f08f0bdd19b03906565b592dfb1cf1ebbf","28869917","1744529181","2025-04-13 07:26:21","0x82e7d32f6762edb3a5de139f3e24f7229e60b6c6","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0","0","0","0.000000652637977482","0.00105587573631422","","","","Sell"
"0x7af6b27d116d0ab0bf4ff410b0020e84df10606435e7b99b2e685f97be9407a6","28870941","1744531229","2025-04-13 08:00:29","0x3a1b5328da42f5946b159af0d5488412117ce2e7","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0.00013543","0","0.219106542835196","0.000000723904834804","0.00117117540940403","","","","Buy"
"0x5973bc1a66cb6010bd6aded939c4ee57a0b3d8203f9117d46d598576f36313ea","28870998","1744531343","2025-04-13 08:02:23","0x3a1b5328da42f5946b159af0d5488412117ce2e7","0x9c95f92ef924775bb6d40a1fdabd090c644cfeb6","","0","0","0","0.000001015107236753","0.00164229961789809","","","","Sell"
